kawa;kawa;A1;7
kawiarnia;kawiarnia;A1;7
kaszel;kaszel;A1;10
kartofle;kartofle;A1;7
każdy;kazdy;A1;8
kebab;kebab;A1;7
kiełbasa;kielbasa;A1;12
kino;kino;A1;8
kobieta;kobieta;A1;4
koleżeństwo;kolezenstwo;A1;4
kolacja;kolacja;A1;7
kolor;kolor;A1;6
kompot;kompot;A1;7
koncert;koncert;A1;---
koniec;koniec;A1;2
konkurs;konkurs;A1;5
kopie;kopia;A1;6
korepetycje;korepetycje;A1;---
kota;kot;A1;1
krew;krew;A1;10
krótko;krotko;A1;9
krzesło;krzeslo;A1;---
kubek;kubek;A1;7
kuchnia;kuchnia;A1;7
kurczak;kurczak;A1;7
kurs;kurs;A1;2
kwiat;kwiat;A1;---
kto;kto;A1;3
który;ktory;A1;8
książka;ksiazka;A1;8
krótki;krotki;A1;---
księżyc;ksiezyc;A1;---
kufer;kufer;A1;---
kupować;kupowac;A1;---
kupić;kupic;A1;9
laptop;laptop;A1;6
las;las;A1;8
lato;lato;A1;1
lekarz;lekarz;A1;3
lekarstwo;lekarstwo;A1;10
lektor;lektor;A1;3
lekko;lekko;A1;12
lekcja;lekcja;A1;2
lenistwo;lenistwo;A1;10
liczba;liczba;A1;11
liczebniki;liczebniki;A1;1
liczyć;liczyc;A1;11
liceum;liceum;A1;3
logopeda;logopeda;A1;3
lodówka;lodowka;A1;7
lubić;lubie;A1;5
Lublin;lublin;A1;2
ludzie;ludzie;A1;12
łyżeczka;lyzeczka;A1;7
łyżka;lyzka;A1;7
makaron;makaron;A1;12
mało;malo;A1;4
mały;maly;A1;4
mama;mama;A1;4
małżeństwo;malzenstwo;A1;3
mam;mam;A1;---
mam na imię;mamnaimie;A1;---
mam na nazwisko;mamnanazwisko;A1;---
mężczyzna;mezczyzna;A1;4
mięso;mieso;A1;7
miłować;milowac;A1;10
mieć;mieć;A1;4
mieć na imię;miecnaiem;A1;---
mieć na nazwisko;miecnazwisko;A1;---
miły;mily;A1;---
miejsce;miejsce;A1;---
migać;migac;A1;1
miłość;milosc;A1;---
mleko;mleko;A1;12
młodszy;mlodszy;A1;11
młody;mlody;A1;11
motocykl;motocykl;A1;1
most;most;A1;11
można;mozna;A1;---
mogę;mogę;A1;7
moja;moja;A1;---
mój;moj;A1;3
musi;musie;A1;---
muszę;musze;A1;7
myć się;mycsie;A1;6
myć zęby;myczeby;A1;6
myśleć;myslec;A1;12
na imię;naimie;A1;---
na nazwisko;nanazwisko;A1;---
na zdrowie;nazdrowie;A1;---
narzyczeństwo;narzeczenstwo;A1;5
następny;nastepny;A1;5
nazwisko;nazwisko;A1;1
nie;nie;A1;2
nie było;niebylo;A1;7
nie jest;niejest;A1;3
nie lubię;nielubie;A1;5
nie mam czasu;niemamczasu;A1;8
nie mieć;niemiec;A1;4
nie pamiętać;niepamietac;A1;11
nie potrafię;niepotrafie;A1;7
nie rozumiem;nierozumiem;A1;3
nie słyszę;nieslysze;A1;---
nie umiem;nieumiem;A1;2
nie wiem;niewiem;A1;2
niebieski;niebieski;A1;6
noc;noc;A1;4
nog;nog;A1;10
nogi;nogi;A1;10
nowy;nowy;A1;12
nuda;nuda;A1;3
numer;numer;A1;2
obiad;obiad;A1;7
obojetny;obojętny;A1;12
obudzić kogoś;obudzickogos;A1;6
ocena;ocena;A1;6
oczy;oczy;A1;10
odpowiedzieć;odpowiedziec;A1;---
odpowiedź;odpowiedz;A1;---
odpoczywać;odpoczywac;A1;6
okresowy;okresowy;A1;11
okropny;okropny;A1;7
oko;oko;A1;10
okulary;okulary;A1;9
olimpiada;olimpiada;A1;---
on;on;A1;1
oni;oni;A1;1
opalać się;opalacsie;A1;8
opieka;opieka;A1;7
opowiadać;opowiadac;A1;6
osoba;osoba;A1;8
osobno;osobno;A1;8
otyłość;otylosc;A1;---
otwarty;otwarty;A1;6
owsianka;owsianka;A1;---
PJM;pjm;A1;2
paczka;paczka;A1;8
pamiętać;pamietac;A1;11
państwo;painstwo;A1;---
patelnia;patelnia;A1;---
pchać;pchac;A1;---
piasek;piasek;A1;9
piękny;piekny;A1;5
pieprz;pieprz;A1;12
pieprzyć;pieprzyc;A1;12
pierwszy-dziewiąty;pierwszydziewiaty;A1;4
pisać;pisac;A1;12
pisać się;pisacsie;A1;---
piwo;piwo;A1;12
pizza;pizza;A1;7
płakać;plakac;A1;11
płuca;pluca;A1;10
pociąg;pociag;A1;12
podpisać;podpisac;A1;12
podobno;podobno;A1;10
pokazać;pokazac;A1;11
pokój;pokoj;A1;9
późno;późno;A1;---
policjant;policjant;A1;3
pomagać;pomagac;A1;8
pomarańczowy;pomaranczowy;A1;6
poniedziałek;poniedzialek;A1;---
porządek;porzadek;A1;12
posiłek;posilek;A1;---
postać;postac;A1;---
potem;potem;A1;5
potrafić;potrafie;A1;7
powiedzieć;powiedziec;A1;11
powoli;powoli;A1;9
powtórzyć;powtorzyc;A1;3
poza;poza;A1;---
pożegnać się;pozegnacsie;A1;---
pożegnać się;pozegnacsie;A1;---
pracować;pracowac;A1;---
praca;praca;A1;3
prasować;prasowac;A1;8
przegrać;przegrac;A1;11
przed;przed;A1;5
przedwczoraj;przedwczoraj;A1;4
przepraszać;przepraszac;A1;1
prezenty;prezenty;A1;8
przyjaciel;przyjaciel;A1;---
przypomnieć;przypomniec;A1;---
przyszłość;przyszlosc;A1;---
przyjść;przyjsc;A1;5
przyjechać;przyjechac;A1;5
przyszły;przyszly;A1;---
przyszłość;przyszlosc;A1;---
pójść;pojsc;A1;5
punktualny;punktualny;A1;---
pytać;pytac;A1;---
rachunek;rachunek;A1;---
radzić;radzic;A1;---
Radom;radom;A1;9
razem;razem;A1;4
recepta;recepta;A1;10
restauracja;restauracja;A1;7
rezygnować;rezygnowac;A1;---
rodzina;rodzina;A1;4
rodzice;rodzice;A1;4
rodzeństwo;rodzenstwo;A1;4
robić;robic;A1;8
rozmawiać;rozmawiac;A1;---
rozpłakać się;rozplakacsie;A1;11
rozpoczynać;rozpoczynac;A1;2
rozumieć;rozumiec;A1;---
rozumiem;rozumiem;A1;3
rozwijać się;rozwijacsie;A1;6
rozwód;rozwod;A1;5
różowy;rozowy;A1;6
rower;rower;A1;8
rzeka;rzeka;A1;8
ryba;ryba;A1;1
rzecz;rzecz;A1;---
rzeczownik;rzeczownik;A1;---
rzucać;rzucac;A1;---
rzucać się;rzucacsie;A1;---
sam;sam;A1;7
samochód;samochod;A1;1
samolot;samolot;A1;1
sałatka;salatka;A1;7
sałata;salata;A1;7
serdecznie;serdecznie;A1;12
ser;ser;A1;12
siadać;siadac;A1;---
siostra;siostra;A1;---
się;sie;A1;---
skąd;skad;A1;2
sklep;sklep;A1;5
smacznego;smacznego;A1;7
smaczny;smaczny;A1;7
spa;spa;A1;6
spacer;spacer;A1;5
spać;spac;A1;6
spodnie;spodnie;A1;---
spotykać się;spotykacsie;A1;8
spokojnie;spokojnie;A1;10
sport;sport;A1;9
sprzedawać;sprzedawac;A1;8
sprzątać;sprzatac;A1;8
sprawa;sprawa;A1;10
stać;stac;A1;10
stary;stary;A1;11
starszy;starszy;A1;11
startować;startowac;A1;2
stolarz;stolarz;A1;3
stracić;stracic;A1;11
studia;studia;A1;3
super;super;A1;3
surówka;surowka;A1;7
syn;syn;A1;4
szczecin;szczecin;A1;9
szczery;szczery;A1;---
szklanka;szklanka;A1;7
szkoła;szkola;A1;3
szwaczka;szwaczka;A1;3
słabo;slabo;A1;3
słabosłyszący;slaboslyszacy;A1;1
słodki;slodki;A1;---
słowo;slowo;A1;---
słyszący;slyszacy;A1;1
śmierć;smierc;A1;5
śniadanie;sniadanie;A1;7
środa;sroda;A1;---
tablica;tablica;A1;---
taksówka;taksowka;A1;5
tam;tam;A1;4
taniec;taniec;A1;5
tata;tata;A1;4
tańczyć;tanczyc;A1;---
technikum;technikum;A1;3
teatr;teatr;A1;8
telefon;telefon;A1;5
temat;temat;A1;2
teraz;teraz;A1;4
termin;termin;A1;---
termometr;termometr;A1;10
test;test;A1;---
tłumacz;tlumacz;A1;3
to;to;A1;9
tobie;tobie;A1;9
trojaczki;trojaczki;A1;4
trudno;trudno;A1;6
trzeba;trzeba;A1;9
ty;ty;A1;1
ty sam;tysam;A1;7
twaróg;twarog;A1;---
tydzień;tydzien;A1;4
tydzień temu;tydzientemu;A1;4
twarz;twarz;A1;---
tu;tu;A1;4
tutaj;tutaj;A1;2
tłumaczyć;tlumaczyc;A1;---
uczennica;uczennica;A1;---
uczeń;uczen;A1;---
uczyć się;uczycsie;A1;2
ulga;ulga;A1;12
ulgowy;ulgowy;A1;12
ulubiony;ulubiony;A1;8
ulica;ulica;A1;2
umieć;umiec;A1;2
umieć;umiec;A1;---
umieć się;umiecsie;A1;---
urodzić;urodzic;A1;5
urodziny;urodziny;A1;2
urzędnik;urzednik;A1;3
uwaga;uwaga;A1;1
uważać;uwazac;A1;---
ważny;wazny;A1;12
warsztat;warsztat;A1;10
Warszawa;warszawa;A1;2
we dwoje;wedwoje;A1;4
we troje;wetroje;A1;4
wc;wc;A1;9
wczoraj;wczoraj;A1;4
wesoły;wesoly;A1;---
wieczór;wieczor;A1;4
wiek;wiek;A1;1
wiedzieć;wiedziec;A1;---
wiem;wiem;A1;2
widele;widele;A1;7
widzieć;wiedziec;A1;---
wiek;wiek;A1;1
wiedza;wiedza;A1;---
wieżowiec;wiezowiec;A1;1
wielki;wielki;A1;---
wieloryb;wieloryb;A1;---
wino;wino;A1;12
witam;witam;A1;---
wiadomość;wiadomosc;A1;---
wiara;wiara;A1;---
widziałem;widziałem;A1;---
wiedziałem;wiedzialem;A1;---
wiosna;wiosna;A1;---
wiadomość;wiadomosc;A1;---
wolno;wolno;A1;3
wolny;wolny;A1;8
wolić;wolic;A1;8
wspaniale;wspaniale;A1;10
wstać;wstac;A1;10
wszystko;wszystko;A1;3
wygrać się;wygracsie;A1;10
wyjechać;wyjechac;A1;5
wynik;wynik;A1;6
wyrażać;wyrazac;A1;---
wysoki;wysoki;A1;6
wychowywać;wychowywac;A1;10
wyjść;wyjsc;A1;5
wylać;wylac;A1;---
wylosować;wylosowac;A1;---
wyrażać się;wyrazacsie;A1;---
wytrzymać;wytrzymac;A1;---
wywołać;wywolac;A1;---
za 3 dni;za3dni;A1;4
zadać;zadac;A1;---
zadanie;zadanie;A1;---
zadzwonić;zadzwonic;A1;---
zakupy;zakupy;A1;9
Zakopane;zakopane;A1;9
zajęcia;zajecia;A1;12
zakładka;zakladka;A1;---
zamek;zamek;A1;8
zamknięty;zamkniety;A1;6
zamówić;zamowic;A1;7
zapalenie;zapalenie;A1;12
zapakować;zapakowac;A1;---
zapisać;zapisac;A1;12
zapraszam;zapraszam;A1;4
zaprzyjaźnić się;zaprzyjaznicsie;A1;---
zaraz;zaraz;A1;---
zatrudnić;zatrudnic;A1;---
zatrzymać;zatrzymac;A1;---
zawsze;zawsze;A1;9
zawieźć;zawiezc;A1;---
zawiadomić;zawiadomic;A1;8
zawód;zawod;A1;---
zazdrościć;zazdroscic;A1;---
zebrać;zebrac;A1;---
zebra;zebra;A1;---
zegar;zegar;A1;---
zegarek;zegarek;A1;---
zginąć;zginac;A1;---
zima;zima;A1;---
zimny;zimny;A1;10
zjeść;zjesc;A1;7
znać;znac;A1;8
znajomy;znajomy;A1;8
zostawić;zostawic;A1;---
zupa;zupa;A1;7
zuzia;zuzia;A1;---
zwiedzać;zwiedzac;A1;8
zwierze;zwierze;A1;12
życie;zycie;A1;12
życzyć;zyczyc;A1;6
żółty;zolty;A1;6
żeby;zeby;A1;9
